"soi.date.orig","SOI","yr","mo.no.char","mo.no","mo.char"
197201,0.5,1972,"01",1,"Jan"
197202,1.1,1972,"02",2,"Feb"
197203,0.6,1972,"03",3,"Mar"
197204,-0.1,1972,"04",4,"Apr"
197205,-1.6,1972,"05",5,"May"
197206,-0.5,1972,"06",6,"Jun"
197207,-1.4,1972,"07",7,"Jul"
197208,-0.5,1972,"08",8,"Aug"
197209,-1.4,1972,"09",9,"Sep"
197210,-0.9,1972,"10",10,"Oct"
197211,-0.3,1972,"11",11,"Nov"
197212,-1.3,1972,"12",12,"Dec"
197301,-0.3,1973,"01",1,"Jan"
197302,-1.4,1973,"02",2,"Feb"
197303,0.7,1973,"03",3,"Mar"
197304,0.1,1973,"04",4,"Apr"
197305,0.4,1973,"05",5,"May"
197306,1.1,1973,"06",6,"Jun"
197307,0.6,1973,"07",7,"Jul"
197308,1.3,1973,"08",8,"Aug"
197309,1.2,1973,"09",9,"Sep"
197310,0.8,1973,"10",10,"Oct"
197311,2.6,1973,"11",11,"Nov"
197312,1.8,1973,"12",12,"Dec"
197401,2.4,1974,"01",1,"Jan"
197402,2.1,1974,"02",2,"Feb"
197403,2.4,1974,"03",3,"Mar"
197404,0.9,1974,"04",4,"Apr"
197405,1,1974,"05",5,"May"
197406,0.4,1974,"06",6,"Jun"
197407,1.1,1974,"07",7,"Jul"
197408,0.8,1974,"08",8,"Aug"
197409,1.1,1974,"09",9,"Sep"
197410,0.9,1974,"10",10,"Oct"
197411,-0.1,1974,"11",11,"Nov"
197412,0.2,1974,"12",12,"Dec"
197501,-0.5,1975,"01",1,"Jan"
197502,0.8,1975,"02",2,"Feb"
197503,1.6,1975,"03",3,"Mar"
197504,1.2,1975,"04",4,"Apr"
197505,0.6,1975,"05",5,"May"
197506,1.3,1975,"06",6,"Jun"
197507,1.9,1975,"07",7,"Jul"
197508,2,1975,"08",8,"Aug"
197509,2.1,1975,"09",9,"Sep"
197510,1.7,1975,"10",10,"Oct"
197511,1.2,1975,"11",11,"Nov"
197512,2.1,1975,"12",12,"Dec"
197601,1.4,1976,"01",1,"Jan"
197602,1.7,1976,"02",2,"Feb"
197603,1.7,1976,"03",3,"Mar"
197604,0.3,1976,"04",4,"Apr"
