"","yr","variable","MEI"
"264",2012,"mar.apr",0.112
"265",2013,"mar.apr",0.095
"266",2014,"mar.apr",0.312
"267",2015,"mar.apr",0.943
"268",2016,"mar.apr",2.124
"269",1950,"apr.may",-1.445
"270",1951,"apr.may",-0.374
"271",1952,"apr.may",-0.307
"272",1953,"apr.may",0.773
"273",1954,"apr.may",-1.478
"274",1955,"apr.may",-1.663
"275",1956,"apr.may",-1.316
"276",1957,"apr.may",0.826
"277",1958,"apr.may",0.685
"278",1959,"apr.may",-0.026
"279",1960,"apr.may",-0.321
"280",1961,"apr.may",-0.304
"281",1962,"apr.may",-0.894
"282",1963,"apr.may",-0.48
"283",1964,"apr.may",-1.249
"284",1965,"apr.may",0.474
"285",1966,"apr.may",-0.178
"286",1967,"apr.may",-0.453
"287",1968,"apr.may",-1.106
"288",1969,"apr.may",0.681
"289",1970,"apr.may",-0.097
"290",1971,"apr.may",-1.444
"291",1972,"apr.may",0.428
"292",1973,"apr.may",-0.096
"293",1974,"apr.may",-1.061
"294",1975,"apr.may",-0.841
"295",1976,"apr.may",-0.486
"296",1977,"apr.may",0.318
"297",1978,"apr.may",-0.381
"298",1979,"apr.may",0.382
"299",1980,"apr.may",0.966
"300",1981,"apr.may",0.189
"301",1982,"apr.may",0.445
"302",1983,"apr.may",2.538
"303",1984,"apr.may",0.189
"304",1985,"apr.may",-0.715
"305",1986,"apr.may",0.355
"306",1987,"apr.may",2.134
"307",1988,"apr.may",0.196
"308",1989,"apr.may",-0.402
"309",1990,"apr.may",0.658
"310",1991,"apr.may",0.748
"311",1992,"apr.may",2.112
"312",1993,"apr.may",2.019
"313",1994,"apr.may",0.585
"314",1995,"apr.may",0.576
"315",1996,"apr.may",-0.044
"316",1997,"apr.may",1.14
"317",1998,"apr.may",2.237
"318",1999,"apr.may",-0.601
"319",2000,"apr.may",0.257
"320",2001,"apr.may",0.288
"321",2002,"apr.may",0.891
"322",2003,"apr.may",0.214
"323",2004,"apr.may",0.56
"324",2005,"apr.may",0.893
"325",2006,"apr.may",0.043
"326",2007,"apr.may",0.354
"327",2008,"apr.may",-0.349
"328",2009,"apr.may",0.328
"329",2010,"apr.may",0.668
"330",2011,"apr.may",-0.202
"331",2012,"apr.may",0.769
"332",2013,"apr.may",0.203
"333",2014,"apr.may",1.01
"334",2015,"apr.may",1.592
"335",2016,"apr.may",1.77
"336",1950,"may.jun",-1.376
"337",1951,"may.jun",0.319
"338",1952,"may.jun",-0.722
"339",1953,"may.jun",0.226
"340",1954,"may.jun",-1.528
"341",1955,"may.jun",-2.209
"342",1956,"may.jun",-1.49
"343",1957,"may.jun",0.753
"344",1958,"may.jun",0.841
"345",1959,"may.jun",-0.036
"346",1960,"may.jun",-0.254
"347",1961,"may.jun",-0.153
"348",1962,"may.jun",-0.839
"349",1963,"may.jun",-0.112
"350",1964,"may.jun",-1.113
"351",1965,"may.jun",0.895
"352",1966,"may.jun",-0.169
"353",1967,"may.jun",-0.217
"354",1968,"may.jun",-0.777
"355",1969,"may.jun",0.823
"356",1970,"may.jun",-0.608
"357",1971,"may.jun",-1.392
"358",1972,"may.jun",0.995
"359",1973,"may.jun",-0.728
"360",1974,"may.jun",-0.663
"361",1975,"may.jun",-1.115
"362",1976,"may.jun",0.306
"363",1977,"may.jun",0.443
"364",1978,"may.jun",-0.575
"365",1979,"may.jun",0.453
"366",1980,"may.jun",0.931
"367",1981,"may.jun",0.004
"368",1982,"may.jun",0.947
"369",1983,"may.jun",2.255
"370",1984,"may.jun",-0.023
"371",1985,"may.jun",-0.14
"372",1986,"may.jun",0.301
"373",1987,"may.jun",1.975
"374",1988,"may.jun",-0.556
"375",1989,"may.jun",-0.216
"376",1990,"may.jun",0.527
"377",1991,"may.jun",1.074
"378",1992,"may.jun",1.75
"379",1993,"may.jun",1.635
"380",1994,"may.jun",0.819
"381",1995,"may.jun",0.53
"382",1996,"may.jun",0.111
"383",1997,"may.jun",2.287
"384",1998,"may.jun",1.356
"385",1999,"may.jun",-0.31
"386",2000,"may.jun",0.02
"387",2001,"may.jun",0.071
"388",2002,"may.jun",0.945
"389",2003,"may.jun",0.131
"390",2004,"may.jun",0.327
"391",2005,"may.jun",0.612
"392",2006,"may.jun",0.546
"393",2007,"may.jun",-0.136
"394",2008,"may.jun",0.164
"395",2009,"may.jun",0.779
"396",2010,"may.jun",-0.211
"397",2011,"may.jun",0.016
"398",2012,"may.jun",0.866
"399",2013,"may.jun",-0.078
"400",2014,"may.jun",1.057
"401",2015,"may.jun",2.101
"402",2016,"may.jun",1.069
"403",1950,"jun.jul",-1.296
"404",1951,"jun.jul",0.666
"405",1952,"jun.jul",-0.316
"406",1953,"jun.jul",0.368
"407",1954,"jun.jul",-1.378
"408",1955,"jun.jul",-1.998
"409",1956,"jun.jul",-1.259
"410",1957,"jun.jul",0.908
"411",1958,"jun.jul",0.693
"412",1959,"jun.jul",-0.134
"413",1960,"jun.jul",-0.34
"414",1961,"jun.jul",-0.216
"415",1962,"jun.jul",-0.701
"416",1963,"jun.jul",0.401
"417",1964,"jun.jul",-1.405
"418",1965,"jun.jul",1.36
"419",1966,"jun.jul",-0.136
"420",1967,"jun.jul",-0.521
"421",1968,"jun.jul",-0.527
"422",1969,"jun.jul",0.467
"423",1970,"jun.jul",-1.089
"424",1971,"jun.jul",-1.23
"425",1972,"jun.jul",1.827
"426",1973,"jun.jul",-1.081
"427",1974,"jun.jul",-0.769
"428",1975,"jun.jul",-1.519
"429",1976,"jun.jul",0.615
"430",1977,"jun.jul",0.866
"431",1978,"jun.jul",-0.433
"432",1979,"jun.jul",0.369
"433",1980,"jun.jul",0.749
"434",1981,"jun.jul",-0.048
"435",1982,"jun.jul",1.604
"436",1983,"jun.jul",1.763
"437",1984,"jun.jul",-0.084
"438",1985,"jun.jul",-0.143
"439",1986,"jun.jul",0.383
"440",1987,"jun.jul",1.859
"441",1988,"jun.jul",-1.145
"442",1989,"jun.jul",-0.459
"443",1990,"jun.jul",0.12
"444",1991,"jun.jul",1.023
"445",1992,"jun.jul",1.018
"446",1993,"jun.jul",1.17
"447",1994,"jun.jul",0.88
"448",1995,"jun.jul",0.207
"449",1996,"jun.jul",-0.204
"450",1997,"jun.jul",2.805
"451",1998,"jun.jul",0.347
"452",1999,"jun.jul",-0.507
