"yr","mo.char","NAO"
1825,"Apr",-0.28
1826,"Apr",1.78
1827,"Apr",-0.83
1828,"Apr",0.04
1829,"Apr",0.12
1830,"Apr",3.08
1831,"Apr",-3.15
1832,"Apr",-1.51
1833,"Apr",2.02
1834,"Apr",-2.38
1835,"Apr",-1.02
1836,"Apr",0.87
1837,"Apr",-0.56
1838,"Apr",-0.61
1839,"Apr",1.4
1840,"Apr",0.87
1841,"Apr",1.97
1842,"Apr",-0.44
1843,"Apr",2.03
1844,"Apr",3.91
1845,"Apr",0.56
1846,"Apr",-1.42
1847,"Apr",1.17
1848,"Apr",-1.02
1849,"Apr",-0.99
1850,"Apr",0.97
1851,"Apr",-1.66
1852,"Apr",-1.6
1853,"Apr",0.76
1854,"Apr",0.88
1855,"Apr",0.99
1856,"Apr",2
1857,"Apr",0.55
1858,"Apr",1.24
1859,"Apr",-1.12
1860,"Apr",-0.37
1861,"Apr",-1.86
1862,"Apr",0.64
1863,"Apr",2.35
1864,"Apr",0.23
1865,"Apr",0.92
1866,"Apr",-0.88
1867,"Apr",3.08
1868,"Apr",2.52
1869,"Apr",2.62
1870,"Apr",2.92
1871,"Apr",-0.32
1872,"Apr",-0.73
1873,"Apr",-2.17
1874,"Apr",2.99
1875,"Apr",-0.41
1876,"Apr",-0.67
1877,"Apr",-2.3
1878,"Apr",0.45
1879,"Apr",0.1
1880,"Apr",1.66
1881,"Apr",-1.42
1882,"Apr",-0.42
1883,"Apr",0.88
1884,"Apr",-2.36
1885,"Apr",0.36
1886,"Apr",-1.37
1887,"Apr",-2.11
1888,"Apr",-2.25
1889,"Apr",1.05
1890,"Apr",-0.08
1891,"Apr",-0.92
1892,"Apr",-1.14
1893,"Apr",0.04
1894,"Apr",1.98
1895,"Apr",0.37
1896,"Apr",2.54
1897,"Apr",4.28
1898,"Apr",3.46
1899,"Apr",0.58
1900,"Apr",2.61
1901,"Apr",2.53
1902,"Apr",-1.14
1903,"Apr",-0.79
1904,"Apr",2.64
1905,"Apr",-1.17
1906,"Apr",1.67
1907,"Apr",1.08
1908,"Apr",-1.75
1909,"Apr",0.06
1910,"Apr",0.08
1911,"Apr",-0.24
1912,"Apr",-0.1
1913,"Apr",1.99
1914,"Apr",2.08
1915,"Apr",2.91
1916,"Apr",0.77
1917,"Apr",-0.92
1918,"Apr",-1.91
1919,"Apr",1.72
1920,"Apr",0.09
1921,"Apr",-0.09
1922,"Apr",0.8
1923,"Apr",-1.19
1924,"Apr",-0.94
1925,"Apr",2.59
1926,"Apr",2.33
1927,"Apr",1.39
1928,"Apr",1.09
1929,"Apr",-3.8
1930,"Apr",-2.13
1931,"Apr",-0.08
1932,"Apr",0.13
1933,"Apr",-0.23
1934,"Apr",-1.67
1935,"Apr",-0.41
1936,"Apr",-1.54
1937,"Apr",2.19
1938,"Apr",-1.68
1939,"Apr",0.18
1940,"Apr",0.53
1941,"Apr",-2.95
1942,"Apr",-0.95
1943,"Apr",4.26
1944,"Apr",1.3
1945,"Apr",1.15
1946,"Apr",0.65
1947,"Apr",6.66
1948,"Apr",-0.48
1949,"Apr",3.41
1950,"Apr",1.61
1951,"Apr",-0.45
1952,"Apr",2.79
1953,"Apr",-1.6
1954,"Apr",-0.26
1955,"Apr",2.4
1956,"Apr",-1.9
1957,"Apr",-0.62
1958,"Apr",1.79
1959,"Apr",1.51
1960,"Apr",1.93
1961,"Apr",0.71
1962,"Apr",0.74
1963,"Apr",-0.46
1964,"Apr",0.95
1965,"Apr",2.14
1966,"Apr",1.18
1967,"Apr",-0.76
1968,"Apr",-0.71
1969,"Apr",1.11
1970,"Apr",2.52
1971,"Apr",-3.15
1972,"Apr",0.22
1973,"Apr",-2.61
1974,"Apr",-2.3
1975,"Apr",-0.84
1976,"Apr",-1.53
1977,"Apr",1.07
1978,"Apr",-3.12
1979,"Apr",-0.79
1980,"Apr",0.03
1981,"Apr",-3.04
1982,"Apr",-0.99
1983,"Apr",-1.01
1984,"Apr",0.33
1985,"Apr",0.34
1986,"Apr",-0.93
1987,"Apr",2.59
1988,"Apr",-2.39
1989,"Apr",-0.48
1990,"Apr",1.77
1991,"Apr",1.48
1992,"Apr",1.32
1993,"Apr",0.83
1994,"Apr",1.38
1995,"Apr",-1.81
1996,"Apr",-0.31
1997,"Apr",-0.97
1998,"Apr",-0.39
1999,"Apr",0.43
