"yr","mo.char","NAO"
1925,"Dec",-0.72
1926,"Dec",-0.51
1927,"Dec",-3.14
1928,"Dec",0.44
1929,"Dec",3.8
1930,"Dec",1.21
1931,"Dec",0.77
1932,"Dec",1.22
1933,"Dec",-1.84
1934,"Dec",1.32
1935,"Dec",-1.37
1936,"Dec",2.37
1937,"Dec",-1.09
1938,"Dec",-0.39
1939,"Dec",-1.07
1940,"Dec",1.46
1941,"Dec",1.44
1942,"Dec",1.47
1943,"Dec",-0.39
1944,"Dec",0.26
1945,"Dec",-0.25
1946,"Dec",1.22
1947,"Dec",-0.72
1948,"Dec",1.09
1949,"Dec",0.11
1950,"Dec",-1.88
1951,"Dec",2.54
1952,"Dec",-0.31
1953,"Dec",0.15
1954,"Dec",1.44
1955,"Dec",0.51
1956,"Dec",2.57
1957,"Dec",-0.12
1958,"Dec",-1.7
1959,"Dec",1.98
1960,"Dec",0.46
1961,"Dec",-1.72
1962,"Dec",-0.66
1963,"Dec",-3.09
1964,"Dec",-1.24
1965,"Dec",1.24
1966,"Dec",1.68
1967,"Dec",-0.53
1968,"Dec",-1.73
1969,"Dec",-0.26
1970,"Dec",-1.58
1971,"Dec",0.76
1972,"Dec",2.11
1973,"Dec",-1.65
1974,"Dec",3.06
1975,"Dec",-1.57
1976,"Dec",-3.63
1977,"Dec",-0.25
1978,"Dec",-2.08
1979,"Dec",2.07
1980,"Dec",1.55
1981,"Dec",-2.2
1982,"Dec",2.64
1983,"Dec",0.83
1984,"Dec",1.52
1985,"Dec",-0.43
1986,"Dec",3.42
1987,"Dec",-0.81
1988,"Dec",1.85
1989,"Dec",-2.23
1990,"Dec",0.34
1991,"Dec",1.24
1992,"Dec",0.21
1993,"Dec",2.17
1994,"Dec",2.86
1995,"Dec",-3.33
1996,"Dec",-4.7
1997,"Dec",-0.2
1998,"Dec",1.95
1999,"Dec",2.13
2000,"Dec",-1.41
2001,"Dec",-2.25
2002,"Dec",-0.98
2003,"Dec",-0.85
2004,"Dec",1.27
2005,"Dec",-0.81
2006,"Dec",3.03
2007,"Dec",1.36
2008,"Dec",-0.58
2009,"Dec",-3.73
2010,"Dec",-4.61
2011,"Dec",3.2
2012,"Dec",0.6
2013,"Dec",3.54
2014,"Dec",1.89
2015,"Dec",4.22
2016,"Dec",2.1
2017,"Dec",NA
